agency_code,agency_name
DOT,Department of Transportation
NYPD,New York City Police Department
DHS,Department of Homeless Services
DEP,Department of Environmental Protection
DOHMH,Department of Health and Mental Hygiene
TLC,Taxi and Limousine Commission
DPR,Department of Parks and Recreation
DSNY,Department of Sanitation
HPD,Department of Housing Preservation and Development
EDC,Economic Development Corporation
DCWP,Department of Consumer and Worker Protection
DOB,Department of Buildings
OOS,Office of the Sheriff
